time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
1970-01-19T00:00:00.665000,0.0,-6.153278962788711e-14
1970-01-19T00:00:00.815943,0.1509433962264151,-7.70128843364098e-14
1970-01-19T00:00:00.966887,0.3018867924528302,-8.396186733234554e-14
1970-01-19T00:00:01.117830,0.4528301886792453,-8.096154546918017e-14
1970-01-19T00:00:01.268774,0.6037735849056604,-7.097599164903747e-14
1970-01-19T00:00:01.419717,0.7547169811320755,-5.882622521049098e-14
1970-01-19T00:00:01.570660,0.9056603773584906,-4.801144012790501e-14
1970-01-19T00:00:01.721604,1.0566037735849056,-3.909115330102407e-14
1970-01-19T00:00:01.872547,1.2075471698113207,-3.0424871341783187e-14
1970-01-19T00:00:02.023491,1.3584905660377358,-2.0290183842200303e-14
1970-01-19T00:00:02.174434,1.509433962264151,-8.587387546392671e-15
1970-01-19T00:00:02.325377,1.6603773584905661,3.0547629116256856e-15
1970-01-19T00:00:02.476321,1.8113207547169812,1.2576841526176955e-14
1970-01-19T00:00:02.627264,1.9622641509433962,1.8973248827885333e-14
1970-01-19T00:00:02.778208,2.1132075471698113,2.279614105344284e-14
1970-01-19T00:00:02.929151,2.2641509433962264,2.543903542999282e-14
1970-01-19T00:00:03.080094,2.4150943396226414,2.7932461980400248e-14
1970-01-19T00:00:03.231038,2.5660377358490565,3.024897359502266e-14
1970-01-19T00:00:03.381981,2.7169811320754715,3.157007216629422e-14
1970-01-19T00:00:03.532925,2.8679245283018866,3.115198929228914e-14
1970-01-19T00:00:03.683868,3.018867924528302,2.9014949014613976e-14
1970-01-19T00:00:03.834811,3.169811320754717,2.593569980941917e-14
1970-01-19T00:00:03.985755,3.3207547169811322,2.2848846034103335e-14
1970-01-19T00:00:04.136698,3.4716981132075473,2.0212395069352897e-14
1970-01-19T00:00:04.287642,3.6226415094339623,1.7837735933895126e-14
1970-01-19T00:00:04.438585,3.7735849056603774,1.5242384652819775e-14
1970-01-19T00:00:04.589528,3.9245283018867925,1.2163355010398161e-14
1970-01-19T00:00:04.740472,4.0754716981132075,8.80052819200387e-15
1970-01-19T00:00:04.891415,4.226415094339623,5.6430615608946964e-15
1970-01-19T00:00:05.042358,4.377358490566038,3.086329768040457e-15
1970-01-19T00:00:05.193302,4.528301886792453,1.1777416691746393e-15
1970-01-19T00:00:05.344245,4.679245283018868,-3.311904236810567e-16
1970-01-19T00:00:05.495189,4.830188679245283,-1.7240252903713793e-15
1970-01-19T00:00:05.646132,4.981132075471698,-3.095197804081111e-15
1970-01-19T00:00:05.797075,5.132075471698113,-4.331076177078347e-15
1970-01-19T00:00:05.948019,5.283018867924528,-5.265654742642175e-15
1970-01-19T00:00:06.098962,5.433962264150943,-5.843908453672695e-15
1970-01-19T00:00:06.249906,5.584905660377358,-6.153991457614349e-15
1970-01-19T00:00:06.400849,5.735849056603773,-6.329212576079293e-15
1970-01-19T00:00:06.551792,5.886792452830188,-6.4340401247722494e-15
1970-01-19T00:00:06.702736,6.037735849056604,-6.4421878308016936e-15
1970-01-19T00:00:06.853679,6.188679245283019,-6.313120481729926e-15
1970-01-19T00:00:07.004623,6.339622641509434,-6.079342074792799e-15
1970-01-19T00:00:07.155566,6.490566037735849,-5.8533462684049456e-15
1970-01-19T00:00:07.306509,6.6415094339622645,-5.743903134940508e-15
1970-01-19T00:00:07.457453,6.7924528301886795,-5.7574018280221866e-15
1970-01-19T00:00:07.608396,6.943396226415095,-5.775116979436177e-15
1970-01-19T00:00:07.759340,7.09433962264151,-5.6323733237594214e-15
1970-01-19T00:00:07.910283,7.245283018867925,-5.239579710000749e-15
1970-01-19T00:00:08.061226,7.39622641509434,-4.650224531747337e-15
1970-01-19T00:00:08.212170,7.547169811320755,-4.0231967094196936e-15
1970-01-19T00:00:08.363113,7.69811320754717,-3.5093670329671064e-15
1970-01-19T00:00:08.514057,7.849056603773585,-3.149262062254672e-15
1970-01-19T00:00:08.665000,8.0,-2.857375610216413e-15
1970-01-19T00:00:08.815943,8.150943396226415,-2.500480468886571e-15
1970-01-19T00:00:08.966887,8.30188679245283,-2.0057866168428686e-15
1970-01-19T00:00:09.117830,8.452830188679245,-1.4143082661140247e-15
1970-01-19T00:00:09.268774,8.60377358490566,-8.40255269081998e-16
1970-01-19T00:00:09.419717,8.754716981132075,-3.732113947414124e-16
1970-01-19T00:00:09.570660,8.90566037735849,-6.5669036796390185e-18
1970-01-19T00:00:09.721604,9.056603773584905,3.4558834163997606e-16
1970-01-19T00:00:09.872547,9.20754716981132,7.558395615630313e-16
